DollarsSold	ProductVendor	ProductName	Year
844	Apple	"Bluetooth Headsets"	2015
1977	Apple	"Bluetooth Headsets"	2016
1367	Apple	"IPhone 5S"	2015
203	Apple	"IPhone 5S"	2016
1529	Apple	"IPhone 6S"	2015
1454	Apple	"IPhone 6S"	2016
983	Apple	"IPhone 6S Plus"	2015
480	Apple	"IPhone 6S Plus"	2016
546	Apple	"Screen Protector"	2015
1388	Apple	"Screen Protector"	2016
2211	Samsung	"Galaxy AMP 2"	2015
1934	Samsung	"Galaxy AMP 2"	2016
878	Samsung	"Galaxy Express 3"	2015
2300	Samsung	"Galaxy Express 3"	2016
1321	Samsung	"Galaxy Express Prime"	2015
3383	Samsung	"Galaxy Express Prime"	2016
2883	Samsung	"Galaxy J7"	2015
116	Samsung	"Galaxy J7"	2016
